,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2023-04-18,7.99,0.15,0.0,0.15,3.04,13.83,14.54,65.08
2023-04-19,8.01,1.18,0.0,1.18,2.32,12.42,17.99,68.72
2023-04-20,2.93,21.61,0.0,21.61,1.22,5.09,13.02,89.79
2023-04-21,2.89,4.04,0.0,4.04,-0.07,6.13,10.87,82.42
2023-04-22,2.1,1.38,0.0,1.38,-1.54,5.37,10.84,80.52
2023-04-23,2.11,3.38,0.0,3.38,-0.12,4.7,10.66,86.28
2023-04-24,1.25,6.3,6.3,0.0,-0.22,3.27,10.32,91.07
2023-04-25,2.82,0.0,0.0,0.0,-2.07,6.91,9.43,78.21
2023-04-26,5.72,0.41,0.0,0.41,0.28,10.78,10.77,64.59
2023-04-27,6.37,0.23,0.0,0.23,2.73,10.28,11.63,68.55
2023-04-28,2.95,7.66,0.0,7.66,0.73,5.69,16.54,86.85
2023-04-29,0.21,15.55,15.55,0.0,-1.47,1.42,10.44,90.35
2023-04-30,1.08,5.29,5.29,0.0,-0.95,3.8,7.83,88.35
2023-05-01,1.26,0.77,0.77,0.0,-2.35,4.25,8.2,79.48
2023-05-02,0.91,1.34,1.34,0.0,-2.97,4.0,10.53,74.9
2023-05-03,0.81,0.21,0.21,0.0,-4.26,4.77,9.8,73.97
2023-05-04,5.16,0.0,0.0,0.0,-3.0,9.7,9.71,69.89
2023-05-05,6.39,0.0,0.0,0.0,0.19,10.1,7.25,75.75
2023-05-06,4.99,0.53,0.0,0.53,2.19,7.59,10.04,84.4
2023-05-07,4.85,3.75,0.0,3.75,2.05,8.01,11.61,86.19
2023-05-08,4.33,4.24,0.0,4.24,2.98,7.29,14.61,89.51
2023-05-09,5.5,0.65,0.0,0.65,1.93,8.87,7.88,86.67
2023-05-10,4.69,4.9,0.0,4.9,1.3,7.16,7.39,90.09
2023-05-11,3.28,11.76,0.0,11.76,2.11,5.11,11.22,92.37
2023-05-12,4.03,10.4,0.0,10.4,1.97,6.09,10.72,87.58
2023-05-13,3.39,8.5,0.0,8.5,1.46,5.66,16.06,87.29
2023-05-14,5.31,2.21,0.0,2.21,1.5,8.17,19.26,73.54
2023-05-15,6.11,0.0,0.0,0.0,1.7,9.9,8.61,69.38
2023-05-16,5.21,0.0,0.0,0.0,0.66,9.7,8.34,71.54
2023-05-17,7.53,0.0,0.0,0.0,1.23,11.13,6.94,79.76
2023-05-18,8.78,0.28,0.0,0.28,3.48,12.25,11.56,77.75
2023-05-19,8.97,0.0,0.0,0.0,4.21,13.15,9.42,74.54
2023-05-20,6.29,3.61,0.0,3.61,3.97,9.7,8.41,82.91
2023-05-21,6.07,1.29,0.0,1.29,2.71,9.47,9.19,86.92
2023-05-22,7.34,2.03,0.0,2.03,3.37,11.39,10.78,87.71
2023-05-23,9.0,3.9,0.0,3.9,4.12,12.8,13.94,83.24
2023-05-24,6.77,0.88,0.0,0.88,3.42,9.58,9.93,87.05
2023-05-25,6.81,1.13,0.0,1.13,4.3,9.78,9.34,87.29
2023-05-26,7.06,0.92,0.0,0.92,4.02,11.17,8.13,87.74
2023-05-27,7.35,0.1,0.0,0.1,3.41,11.09,8.23,85.22
