,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2023-05-18,14.05,0.31,0.0,0.31,9.15,17.45,11.67,78.96
2023-05-19,14.32,0.0,0.0,0.0,9.94,18.41,9.4,75.71
2023-05-20,11.89,3.04,0.0,3.04,9.75,15.08,8.46,82.97
2023-05-21,11.74,1.2,0.0,1.2,8.36,15.0,9.3,87.43
2023-05-22,12.8,2.11,0.0,2.11,9.13,16.84,10.72,88.41
2023-05-23,14.23,3.36,0.0,3.36,9.77,17.88,13.52,85.02
2023-05-24,12.33,0.76,0.0,0.76,9.13,15.01,9.85,88.37
2023-05-25,12.41,0.94,0.0,0.94,10.08,15.26,9.37,88.25
2023-05-26,12.68,0.83,0.0,0.83,9.69,16.73,8.08,88.63
2023-05-27,12.93,0.09,0.0,0.09,9.11,16.47,8.37,86.2
2023-05-28,13.66,1.0,0.0,1.0,10.78,16.54,9.84,88.12
2023-05-29,15.44,1.34,0.0,1.34,12.29,18.35,11.82,81.96
2023-05-30,15.31,0.04,0.0,0.04,11.85,19.13,10.9,82.58
2023-05-31,14.09,8.39,0.0,8.39,10.99,17.28,9.97,84.8
2023-06-01,14.17,1.28,0.0,1.28,11.65,16.41,6.03,84.61
2023-06-02,14.53,1.18,0.0,1.18,11.14,17.31,10.64,86.32
2023-06-03,16.07,0.3,0.0,0.3,12.51,20.66,12.9,85.2
2023-06-04,15.19,1.33,0.0,1.33,12.85,17.61,13.5,85.19
2023-06-05,14.54,4.52,0.0,4.52,12.41,17.07,12.95,90.32
2023-06-06,14.63,3.22,0.0,3.22,12.42,16.84,15.68,88.84
2023-06-07,14.91,0.23,0.0,0.23,11.69,17.61,7.94,83.08
2023-06-08,15.12,0.0,0.0,0.0,10.16,18.79,7.84,81.04
2023-06-09,16.31,1.28,0.0,1.28,14.38,19.31,8.41,86.16
2023-06-10,15.29,3.72,0.0,3.72,13.43,17.07,7.79,89.01
2023-06-11,16.11,0.28,0.0,0.28,12.64,19.3,9.15,85.99
2023-06-12,16.47,1.5,0.0,1.5,14.02,18.93,7.58,86.62
2023-06-13,16.22,1.84,0.0,1.84,13.98,18.51,7.23,88.06
2023-06-14,15.4,10.28,0.0,10.28,13.54,17.14,9.59,90.77
2023-06-15,15.38,14.27,0.0,14.27,13.59,17.59,12.27,88.58
2023-06-16,16.14,0.03,0.0,0.03,12.33,19.04,8.81,82.87
2023-06-17,16.68,0.0,0.0,0.0,11.89,20.19,9.16,82.97
2023-06-18,16.59,5.25,0.0,5.25,14.34,18.88,10.1,84.47
2023-06-19,16.53,1.88,0.0,1.88,13.32,19.27,7.31,86.04
2023-06-20,15.99,11.8,0.0,11.8,14.27,18.27,14.09,87.66
2023-06-21,16.18,1.64,0.0,1.64,12.53,19.24,16.35,80.59
2023-06-22,15.57,12.11,0.0,12.11,13.68,17.76,18.95,78.92
2023-06-23,16.28,4.86,0.0,4.86,13.74,18.65,18.1,76.85
2023-06-24,17.5,3.98,0.0,3.98,13.89,21.36,9.19,76.64
2023-06-25,18.51,0.0,0.0,0.0,12.31,21.71,7.79,81.14
2023-06-26,19.03,0.43,0.0,0.43,14.61,22.36,6.67,82.59
2023-06-27,18.52,0.24,0.0,0.24,15.3,20.67,11.02,82.38
2023-06-28,19.04,0.0,0.0,0.0,14.66,21.66,8.09,78.27
2023-06-29,19.11,0.08,0.0,0.08,14.86,21.89,8.99,78.07
2023-06-30,16.45,10.99,0.0,10.99,13.12,19.1,15.62,82.6
2023-07-01,17.14,0.15,0.0,0.15,11.68,20.35,9.78,70.35
2023-07-02,18.7,0.0,0.0,0.0,11.35,22.55,10.64,71.69
2023-07-03,20.44,0.0,0.0,0.0,13.54,23.9,9.33,67.53
2023-07-04,19.93,0.0,0.0,0.0,14.91,22.57,7.71,75.35
2023-07-05,20.35,0.0,0.0,0.0,15.01,23.11,7.6,73.25
2023-07-06,21.25,0.0,0.0,0.0,15.71,24.13,6.58,72.91
2023-07-07,20.76,1.03,0.0,1.03,17.25,24.64,8.43,78.66
2023-07-08,20.41,13.95,0.0,13.95,17.38,22.98,11.91,81.08
2023-07-09,18.35,12.09,0.0,12.09,16.31,20.58,13.62,83.62
2023-07-10,16.8,21.72,0.0,21.72,14.91,19.15,23.63,84.28
2023-07-11,17.19,1.28,0.0,1.28,13.75,20.02,15.6,72.68
2023-07-12,17.59,0.0,0.0,0.0,11.74,22.26,11.8,62.0
2023-07-13,18.58,0.0,0.0,0.0,14.19,22.19,9.29,73.18
2023-07-14,18.31,0.0,0.0,0.0,13.32,22.62,9.19,70.28
2023-07-15,18.78,0.12,0.0,0.12,14.73,22.39,10.39,68.25
2023-07-16,17.93,7.33,0.0,7.33,15.14,20.88,13.75,79.78
2023-07-17,18.21,1.64,0.0,1.64,13.61,21.53,11.78,68.12
2023-07-18,18.2,0.0,0.0,0.0,12.05,21.37,10.94,66.12
2023-07-19,18.75,0.0,0.0,0.0,13.79,22.21,9.23,72.09
2023-07-20,20.66,0.0,0.0,0.0,15.68,25.71,9.22,69.47
2023-07-21,20.16,0.0,0.0,0.0,15.29,23.41,8.35,73.36
2023-07-22,20.55,0.0,0.0,0.0,15.92,23.29,8.37,74.5
2023-07-23,20.02,0.0,0.0,0.0,16.25,23.56,9.9,69.09
2023-07-24,18.77,8.29,0.0,8.29,16.16,21.78,14.42,76.05
2023-07-25,18.74,1.55,0.0,1.55,16.5,21.36,12.5,76.29
2023-07-26,19.8,0.0,0.0,0.0,14.86,23.75,11.06,73.78
2023-07-27,22.93,0.0,0.0,0.0,16.87,27.89,10.37,73.59
2023-07-28,19.51,3.03,0.0,3.03,16.97,21.93,19.73,71.4
2023-07-29,17.83,0.73,0.0,0.73,13.97,21.13,10.77,73.24
2023-07-30,18.07,1.89,0.0,1.89,16.0,20.88,8.76,75.81
2023-07-31,18.92,0.12,0.0,0.12,15.78,22.32,8.31,73.2
2023-08-01,19.99,0.0,0.0,0.0,15.94,23.67,8.33,72.6
2023-08-02,21.39,0.34,0.0,0.34,18.13,25.07,9.77,76.96
2023-08-03,21.54,0.03,0.0,0.03,18.19,25.55,7.39,77.09
2023-08-04,21.12,0.33,0.0,0.33,18.19,24.9,7.87,77.46
2023-08-05,21.79,0.0,0.0,0.0,17.41,26.23,10.17,76.59
2023-08-06,23.6,0.0,0.0,0.0,18.94,27.94,12.43,71.06
2023-08-07,24.37,0.0,0.0,0.0,20.75,29.37,11.7,70.24
2023-08-08,23.13,0.64,0.0,0.64,19.82,27.03,9.25,75.48
2023-08-09,21.74,1.57,0.0,1.57,19.31,24.6,14.23,82.03
2023-08-10,22.77,5.67,0.0,5.67,19.74,25.88,11.98,80.03
2023-08-11,23.03,5.55,0.0,5.55,19.68,25.82,13.47,79.82
2023-08-12,21.47,19.66,0.0,19.66,19.44,23.27,12.75,86.9
2023-08-13,23.12,1.77,0.0,1.77,18.73,25.03,6.74,80.6
2023-08-14,23.24,0.0,0.0,0.0,18.27,25.82,8.73,73.59
2023-08-15,22.87,0.0,0.0,0.0,17.63,25.67,7.73,70.77
2023-08-16,21.6,0.0,0.0,0.0,17.26,25.2,7.22,70.38
2023-08-17,22.01,0.0,0.0,0.0,18.52,25.31,6.56,74.33
2023-08-18,22.04,0.07,0.0,0.07,18.86,25.4,9.23,75.09
2023-08-19,21.48,0.21,0.0,0.21,17.75,24.96,9.02,75.81
2023-08-20,20.93,0.31,0.0,0.31,16.73,24.72,8.62,75.62
2023-08-21,21.22,0.41,0.0,0.41,17.44,24.58,8.97,78.09
2023-08-22,22.32,0.89,0.0,0.89,17.97,25.92,9.35,76.45
2023-08-23,22.0,0.12,0.0,0.12,17.24,25.34,9.02,73.52
2023-08-24,21.38,1.1,0.0,1.1,16.92,24.1,10.19,72.57
2023-08-25,20.51,0.13,0.0,0.13,17.45,23.4,14.87,69.49
2023-08-26,20.36,0.0,0.0,0.0,14.89,23.72,11.54,66.3
2023-08-27,20.91,0.19,0.0,0.19,15.13,24.7,10.04,69.64
2023-08-28,20.86,0.3,0.0,0.3,17.63,23.85,10.34,73.6
2023-08-29,20.81,1.85,0.0,1.85,17.76,24.34,19.15,73.84
2023-08-30,22.52,0.0,0.0,0.0,16.62,26.51,12.89,69.99
2023-08-31,23.17,0.0,0.0,0.0,17.61,28.01,7.82,68.15
2023-09-01,22.44,0.12,0.0,0.12,18.17,25.23,11.57,68.42
2023-09-02,22.47,2.76,0.0,2.76,18.81,26.55,13.13,81.45
2023-09-03,20.42,3.5,0.0,3.5,18.29,23.02,19.52,81.66
2023-09-04,20.51,0.89,0.0,0.89,17.33,23.82,15.27,77.78
2023-09-05,21.34,0.19,0.0,0.19,15.59,24.56,9.07,74.54
2023-09-06,20.99,7.31,0.0,7.31,18.45,23.78,8.58,81.47
2023-09-07,20.71,3.07,0.0,3.07,17.88,23.95,18.15,80.61
2023-09-08,19.55,0.25,0.0,0.25,16.83,22.24,17.94,69.7
2023-09-09,17.82,0.0,0.0,0.0,14.82,20.62,20.26,66.09
2023-09-10,15.76,1.04,0.0,1.04,12.64,18.8,13.49,69.0
2023-09-11,14.96,0.0,0.0,0.0,11.08,18.19,12.58,65.48
2023-09-12,15.48,0.22,0.0,0.22,11.07,18.82,15.96,68.02
2023-09-13,15.29,0.12,0.0,0.12,11.19,19.0,12.88,67.9
2023-09-14,15.24,0.03,0.0,0.03,10.01,19.2,10.64,67.78
2023-09-15,16.57,0.0,0.0,0.0,11.11,20.15,8.65,71.14
