,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023-02-17,-5.54,0.12,0.12,0.0,-11.46,-0.44,12.22,70.29
2023-02-18,-2.8,0.17,0.17,0.0,-9.17,3.45,12.74,64.11
2023-02-19,1.61,3.43,3.43,0.0,-1.18,5.12,19.14,71.06
2023-02-20,1.14,9.05,9.05,0.0,-3.99,5.81,15.7,72.27
2023-02-21,0.28,0.74,0.74,0.0,-3.89,4.06,16.07,74.94
2023-02-22,1.39,0.0,0.0,0.0,-4.54,5.93,13.28,66.52
2023-02-23,-0.83,4.31,4.31,0.0,-4.42,2.46,11.9,81.3
2023-02-24,-2.38,0.0,0.0,0.0,-7.75,3.45,11.33,75.04
2023-02-25,1.26,0.0,0.0,0.0,-5.71,8.36,17.02,54.86
2023-02-26,4.59,0.0,0.0,0.0,-0.45,9.37,21.77,54.62
2023-02-27,5.31,0.0,0.0,0.0,-0.04,10.82,17.18,57.57
2023-02-28,5.95,0.0,0.0,0.0,-0.4,12.21,10.23,62.65
2023-03-01,4.98,0.1,0.0,0.1,1.23,9.04,7.43,75.4
2023-03-02,4.18,5.89,0.0,5.89,0.43,7.82,11.3,80.89
2023-03-03,3.4,8.08,0.0,8.08,0.28,7.29,12.09,87.0
2023-03-04,3.89,0.07,0.0,0.07,-0.21,8.17,11.65,77.51
2023-03-05,5.66,9.06,0.0,9.06,2.49,9.52,12.06,75.84
2023-03-06,2.97,8.12,0.0,8.12,0.08,7.06,20.27,80.05
2023-03-07,2.48,0.0,0.0,0.0,-3.33,7.46,9.52,72.2
2023-03-08,4.44,0.0,0.0,0.0,-0.69,9.73,10.0,62.38
2023-03-09,4.25,0.21,0.0,0.21,-1.37,10.05,8.9,66.56
2023-03-10,5.56,1.67,0.0,1.67,1.46,9.96,13.45,65.3
2023-03-11,9.29,0.0,0.0,0.0,3.81,14.52,21.84,52.78
2023-03-12,8.53,2.46,0.0,2.46,4.53,12.57,22.81,55.23
2023-03-13,1.43,22.7,22.7,0.0,-0.74,4.54,22.63,89.51
2023-03-14,0.35,6.39,6.39,0.0,-1.94,2.33,12.43,86.66
2023-03-15,2.45,8.68,0.0,8.68,-0.1,5.44,11.17,91.2
2023-03-16,6.93,1.37,0.0,1.37,2.77,11.41,10.22,80.0
2023-03-17,5.13,0.55,0.0,0.55,1.43,8.58,12.62,81.5
2023-03-18,5.15,2.2,0.0,2.2,2.96,7.3,14.18,81.98
2023-03-19,2.84,6.86,0.0,6.86,0.87,4.31,16.45,86.27
2023-03-20,0.35,12.78,12.78,0.0,-0.5,1.59,18.79,89.92
2023-03-21,1.41,2.52,2.52,0.0,-1.18,4.61,7.81,85.02
2023-03-22,4.68,0.0,0.0,0.0,-2.27,8.45,8.52,78.66
2023-03-23,3.39,4.17,0.0,4.17,0.95,6.92,9.41,83.07
2023-03-24,2.52,2.13,0.0,2.13,-0.54,6.34,7.91,88.48
2023-03-25,4.53,2.51,0.0,2.51,-0.12,8.2,8.97,83.3
2023-03-26,6.88,0.0,0.0,0.0,-1.09,12.63,10.68,73.34
2023-03-27,5.67,0.19,0.0,0.19,0.89,10.44,10.37,69.92
2023-03-28,7.36,14.52,0.0,14.52,1.33,15.95,19.24,67.3
2023-03-29,-0.57,29.2,29.2,0.0,-5.21,3.58,21.99,90.38
2023-03-30,-3.62,1.9,1.9,0.0,-7.15,-0.95,14.31,76.96
2023-03-31,-3.92,0.27,0.27,0.0,-8.13,0.23,12.1,71.68
2023-04-01,-0.12,0.0,0.0,0.0,-7.58,7.33,12.41,66.68
2023-04-02,6.83,0.04,0.0,0.04,0.03,12.2,14.21,68.78
2023-04-03,7.45,0.09,0.0,0.09,3.49,12.95,11.38,74.92
2023-04-04,11.12,0.03,0.0,0.03,3.51,18.05,21.98,54.73
2023-04-05,8.78,1.06,0.0,1.06,3.03,12.69,17.8,62.69
2023-04-06,3.2,5.47,0.0,5.47,-0.0,5.88,10.93,88.31
2023-04-07,2.45,12.58,0.0,12.58,0.05,5.43,11.51,90.46
2023-04-08,4.25,8.68,0.0,8.68,0.88,7.81,9.98,78.86
2023-04-09,6.38,1.77,0.0,1.77,-0.57,11.23,11.76,70.12
2023-04-10,6.71,2.94,0.0,2.94,3.18,10.41,14.23,82.17
2023-04-11,6.03,16.77,0.0,16.77,3.56,8.22,14.56,89.1
2023-04-12,4.91,9.31,0.0,9.31,1.28,7.93,11.29,81.8
2023-04-13,3.85,4.23,0.0,4.23,0.42,7.89,11.54,81.41
2023-04-14,6.88,1.88,0.0,1.88,-0.18,12.24,12.1,67.89
2023-04-15,9.52,0.0,0.0,0.0,2.24,15.95,12.03,61.05
2023-04-16,10.33,1.91,0.0,1.91,3.85,15.68,8.32,68.54
2023-04-17,11.04,0.28,0.0,0.28,4.42,16.5,8.98,70.03
2023-04-18,13.06,0.98,0.0,0.98,6.38,19.2,14.51,54.72
2023-04-19,12.56,1.43,0.0,1.43,5.46,18.44,20.53,61.2
2023-04-20,6.6,14.37,0.0,14.37,3.54,8.81,13.48,86.13
2023-04-21,6.09,2.57,0.0,2.57,2.75,9.81,10.18,78.83
2023-04-22,7.02,0.7,0.0,0.7,0.9,11.12,11.33,76.51
2023-04-23,6.25,12.52,0.0,12.52,3.35,10.3,13.69,83.9
2023-04-24,4.5,6.63,0.0,6.63,2.32,6.21,9.97,91.1
2023-04-25,6.41,0.0,0.0,0.0,0.13,12.6,9.18,72.82
2023-04-26,10.2,0.38,0.0,0.38,3.67,15.22,12.15,64.57
2023-04-27,10.01,7.31,0.0,7.31,5.04,13.67,13.1,68.1
2023-04-28,5.63,10.9,0.0,10.9,2.95,9.05,14.35,87.71
2023-04-29,3.71,12.13,0.0,12.13,1.97,5.98,12.99,85.61
2023-04-30,4.91,3.09,0.0,3.09,1.39,7.81,8.94,82.3
2023-05-01,6.2,0.34,0.0,0.34,1.16,9.72,11.49,69.8
2023-05-02,5.22,0.19,0.0,0.19,-0.5,8.97,10.85,71.59
2023-05-03,5.38,0.0,0.0,0.0,-1.33,11.44,9.78,66.82
2023-05-04,9.29,0.0,0.0,0.0,-0.09,15.49,9.12,61.49
2023-05-05,11.92,0.0,0.0,0.0,4.22,17.6,10.12,62.32
2023-05-06,9.53,2.44,0.0,2.44,6.31,14.66,16.23,74.56
2023-05-07,7.71,3.78,0.0,3.78,4.18,11.38,11.33,84.31
2023-05-08,7.14,4.16,0.0,4.16,4.77,10.12,14.6,88.87
2023-05-09,8.15,0.0,0.0,0.0,2.62,14.25,8.25,79.33
2023-05-10,7.9,3.75,0.0,3.75,4.3,11.7,8.97,82.93
2023-05-11,7.57,4.5,0.0,4.5,5.38,10.7,11.9,84.77
2023-05-12,8.06,8.93,0.0,8.93,5.5,11.69,13.23,85.46
2023-05-13,6.3,5.25,0.0,5.25,4.78,8.12,14.28,90.36
2023-05-14,7.94,1.27,0.0,1.27,2.6,12.66,15.46,74.07
2023-05-15,9.73,0.0,0.0,0.0,1.3,15.12,8.52,64.67
2023-05-16,10.28,0.0,0.0,0.0,3.64,16.79,8.41,61.34
2023-05-17,11.6,0.3,0.0,0.3,4.9,18.03,7.29,64.9
2023-05-18,12.42,1.33,0.0,1.33,6.43,18.55,13.01,71.11
2023-05-19,10.97,9.42,0.0,9.42,6.95,16.35,10.43,80.44
2023-05-20,10.14,1.48,0.0,1.48,6.63,14.85,9.9,80.13
2023-05-21,9.97,5.36,0.0,5.36,5.8,14.25,8.12,83.39
2023-05-22,10.55,6.14,0.0,6.14,6.34,16.3,12.44,82.72
