,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022-08-27,19.22,0.5,0.0,0.5,14.96,24.95,8.28,73.94
2022-08-28,19.46,1.75,0.0,1.75,13.39,24.0,8.73,76.36
2022-08-29,17.23,0.79,0.0,0.79,12.17,22.2,6.38,76.64
2022-08-30,19.47,0.0,0.0,0.0,12.89,25.99,7.88,75.16
2022-08-31,19.73,0.12,0.0,0.12,13.4,25.36,6.44,73.66
2022-09-01,18.89,0.03,0.0,0.03,13.49,24.54,8.37,73.06
2022-09-02,18.62,0.29,0.0,0.29,14.32,23.7,8.62,75.64
2022-09-03,19.6,0.15,0.0,0.15,12.95,25.58,7.73,72.54
2022-09-04,17.55,0.8,0.0,0.8,13.51,21.73,15.74,75.78
2022-09-05,13.25,22.42,0.0,22.42,10.84,15.73,12.18,78.51
2022-09-06,11.82,11.74,0.0,11.74,7.28,14.43,10.13,69.3
2022-09-07,8.85,1.11,0.0,1.11,4.77,12.97,7.27,72.24
2022-09-08,11.44,0.92,0.0,0.92,5.15,16.69,7.38,71.64
2022-09-09,12.44,0.0,0.0,0.0,5.2,19.33,7.46,67.93
2022-09-10,13.43,0.0,0.0,0.0,4.86,20.56,7.33,65.1
2022-09-11,15.54,0.0,0.0,0.0,6.54,22.48,6.18,61.69
2022-09-12,14.62,0.68,0.0,0.68,7.88,21.78,9.97,66.7
2022-09-13,12.37,11.84,0.0,11.84,8.38,16.73,11.23,77.58
2022-09-14,12.06,3.6,0.0,3.6,7.6,16.8,9.17,70.59
2022-09-15,12.45,0.0,0.0,0.0,5.12,20.16,6.59,66.58
2022-09-16,15.9,0.0,0.0,0.0,6.87,24.87,7.78,56.44
2022-09-17,17.19,0.0,0.0,0.0,8.12,24.4,6.43,59.57
