,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2022-06-27,17.61,46.26,0.0,46.26,15.15,20.15,13.2,90.11
2022-06-28,17.89,2.68,0.0,2.68,15.3,20.75,7.68,85.69
2022-06-29,18.28,2.02,0.0,2.02,15.36,20.88,5.89,83.72
2022-06-30,19.49,0.0,0.0,0.0,15.76,23.02,9.43,81.88
2022-07-01,20.31,0.0,0.0,0.0,18.01,23.07,14.22,84.86
2022-07-02,20.66,0.0,0.0,0.0,16.47,25.19,11.01,73.99
2022-07-03,19.4,0.0,0.0,0.0,14.75,21.92,6.89,66.21
2022-07-04,19.12,0.0,0.0,0.0,13.85,22.2,7.47,68.62
2022-07-05,19.98,0.0,0.0,0.0,15.4,22.85,7.18,72.0
2022-07-06,20.69,0.0,0.0,0.0,15.94,24.29,7.98,76.94
2022-07-07,20.75,0.0,0.0,0.0,17.17,23.78,12.85,80.37
2022-07-08,21.21,0.0,0.0,0.0,18.86,23.96,16.56,81.43
2022-07-09,21.3,0.0,0.0,0.0,17.47,23.92,7.82,81.69
2022-07-10,20.15,4.85,0.0,4.85,18.25,22.97,12.21,83.91
2022-07-11,20.83,1.26,0.0,1.26,18.02,23.69,20.79,74.32
2022-07-12,20.55,0.0,0.0,0.0,17.76,23.0,8.12,73.49
2022-07-13,20.29,0.29,0.0,0.29,16.31,22.92,7.81,71.75
2022-07-14,20.1,1.64,0.0,1.64,15.6,23.14,12.72,70.66
2022-07-15,20.38,0.0,0.0,0.0,15.47,23.95,7.48,69.36
2022-07-16,20.49,0.68,0.0,0.68,17.31,23.0,16.21,76.12
2022-07-17,21.69,0.14,0.0,0.14,19.08,23.92,17.44,77.26
2022-07-18,19.43,13.32,0.0,13.32,17.12,22.42,16.98,79.89
2022-07-19,19.64,0.69,0.0,0.69,16.8,22.79,10.03,70.84
2022-07-20,20.66,0.0,0.0,0.0,16.41,23.3,11.14,66.39
2022-07-21,20.8,0.08,0.0,0.08,16.96,23.83,15.08,66.66
2022-07-22,20.43,0.42,0.0,0.42,17.92,22.51,16.68,71.41
2022-07-23,21.07,0.88,0.0,0.88,17.66,23.59,16.21,70.96
2022-07-24,20.99,0.32,0.0,0.32,17.21,23.62,11.92,74.84
2022-07-25,21.24,0.0,0.0,0.0,15.82,24.46,7.11,70.28
2022-07-26,21.23,0.16,0.0,0.16,17.92,24.03,11.38,75.28
2022-07-27,21.53,0.0,0.0,0.0,15.93,24.73,8.13,68.69
2022-07-28,21.58,0.0,0.0,0.0,18.16,24.32,11.31,72.84
2022-07-29,21.83,0.0,0.0,0.0,16.26,24.89,9.5,71.75
2022-07-30,21.77,0.0,0.0,0.0,16.49,25.26,8.01,77.04
2022-07-31,22.85,0.0,0.0,0.0,18.94,25.69,8.07,83.41
2022-08-01,22.88,0.0,0.0,0.0,20.65,24.96,15.92,82.4
2022-08-02,22.36,0.0,0.0,0.0,20.23,24.87,14.98,75.35
2022-08-03,22.31,0.0,0.0,0.0,18.59,25.08,11.07,74.72
2022-08-04,22.01,0.14,0.0,0.14,18.61,24.54,7.17,76.91
2022-08-05,22.61,2.67,0.0,2.67,20.34,24.66,6.62,79.68
2022-08-06,22.91,0.57,0.0,0.57,19.65,25.94,6.87,76.75
2022-08-07,22.74,0.92,0.0,0.92,18.33,25.34,10.78,78.89
