tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2025.05.05 - 2025.05.11,1776.0,6.0,5.0,295.86,11.76,9.62,0.0,9.62,8.42,76.57
2025.05.12 - 2025.05.18,888.0,3.0,5.0,295.86,15.75,13.15,0.0,13.15,7.02,77.87
2025.05.19 - 2025.05.25,2071.0,7.0,4.33,295.86,15.03,7.08,0.0,7.08,8.87,71.6
2025.05.26 - 2025.06.01,2664.0,9.0,4.92,295.86,18.93,0.48,0.0,0.48,8.07,63.78
2025.06.02 - 2025.06.08,2664.0,9.0,4.75,295.86,17.83,2.45,0.0,2.45,9.86,71.57
2025.06.09 - 2025.06.15,6804.0,23.0,4.24,295.86,20.28,0.19,0.0,0.19,8.31,61.05
2025.06.16 - 2025.06.22,5918.0,20.0,4.72,295.86,21.39,1.71,0.0,1.71,11.63,66.33
2025.06.23 - 2025.06.29,7100.0,24.0,4.2,295.86,20.86,3.67,0.0,3.67,10.11,60.94
2025.06.30 - 2025.07.06,7692.0,26.0,3.78,295.86,22.06,26.06,0.0,26.06,9.82,57.35
2025.07.07 - 2025.07.13,7396.0,25.0,4.55,295.86,21.87,26.41,0.0,26.41,10.66,65.17
2025.07.14 - 2025.07.20,7101.0,24.0,4.42,295.86,25.78,0.0,0.0,0.0,12.97,65.33
2025.07.21 - 2025.07.27,7693.0,26.0,4.29,295.86,25.65,1.75,0.0,1.75,11.22,61.59
2025.07.28 - 2025.08.03,13609.0,46.0,4.39,295.86,27.03,0.0,0.0,0.0,10.57,64.66
2025.08.04 - 2025.08.10,13610.0,46.0,4.18,295.86,27.02,4.45,0.0,4.45,13.41,67.61
2025.08.11 - 2025.08.17,16271.0,55.0,4.37,295.86,26.62,0.0,0.0,0.0,12.81,62.07
2025.08.18 - 2025.08.24,14201.0,48.0,4.33,295.86,24.69,0.0,0.0,0.0,10.97,59.94
2025.08.25 - 2025.08.31,12723.0,43.0,4.59,295.86,24.16,2.85,0.0,2.85,12.84,66.18
2025.09.01 - 2025.09.07,10355.0,35.0,4.67,295.86,23.82,0.0,0.0,0.0,10.54,64.91
2025.09.08 - 2025.09.14,7398.0,25.0,4.67,295.86,23.41,8.78,0.0,8.78,11.57,69.48
2025.09.15 - 2025.09.21,8284.0,28.0,4.22,295.86,20.95,41.57,0.0,41.57,8.88,69.63
2025.09.22 - 2025.09.28,3256.0,11.0,4.73,295.86,18.69,8.93,0.0,8.93,10.19,68.07
2025.09.29 - 2025.10.05,2072.0,7.0,4.8,295.86,17.43,9.22,0.0,9.22,8.84,68.34
2025.10.06 - 2025.10.12,4439.0,15.0,4.5,295.86,17.95,10.47,0.0,10.47,8.63,74.1
2025.10.13 - 2025.10.19,2959.0,10.0,4.4,295.86,16.1,29.72,0.0,29.72,5.69,72.41
2025.10.20 - 2025.10.26,2072.0,7.0,4.93,295.86,14.86,26.57,0.0,26.57,7.1,76.76
2025.10.27 - 2025.11.02,888.0,3.0,4.67,295.86,16.27,19.7,0.0,19.7,5.01,77.56
2025.11.03 - 2025.11.09,2072.0,7.0,4.2,295.86,14.07,16.94,0.0,16.94,5.86,74.36
2025.11.10 - 2025.11.16,1480.0,5.0,4.75,295.86,14.23,0.0,0.0,0.0,4.01,83.54
2025.11.17 - 2025.11.23,2959.0,10.0,4.56,295.86,12.27,21.15,0.0,21.15,6.87,79.75
2025.11.24 - 2025.11.30,888.0,3.0,5.0,295.86,14.87,0.49,0.0,0.49,5.44,59.05
2025.12.01 - 2025.12.07,1480.0,5.0,3.83,295.86,12.75,12.46,0.0,12.46,4.36,75.84
2025.12.08 - 2025.12.14,1480.0,5.0,3.88,295.86,11.21,1.29,0.0,1.29,4.61,78.57
2025.12.15 - 2025.12.21,592.0,2.0,4.5,295.86,9.45,24.87,0.0,24.87,5.73,84.88
2025.12.22 - 2025.12.28,592.0,2.0,5.0,295.86,6.22,14.49,0.0,14.49,4.55,84.65
2025.12.29 - 2026.01.04,296.0,1.0,5.0,295.86,5.87,30.24,0.0,30.24,7.3,84.28
2026.01.05 - 2026.01.11,0.0,0.0,,295.86,4.13,13.5,0.0,13.5,11.28,70.68
