tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2025.05.19 - 2025.05.25,5772.0,30.0,4.93,192.42,11.47,9.34,0.0,9.34,10.42,75.72
2025.05.26 - 2025.06.01,4810.0,25.0,4.93,192.42,16.37,5.51,0.0,5.51,10.22,68.09
2025.06.02 - 2025.06.08,6158.0,32.0,4.86,192.42,14.48,10.73,0.0,10.73,9.29,82.56
2025.06.09 - 2025.06.15,8660.0,45.0,4.8,192.42,17.3,0.06,0.0,0.06,8.84,70.72
2025.06.16 - 2025.06.22,13470.0,70.0,4.86,192.42,17.77,1.19,0.0,1.19,10.84,77.7
2025.06.23 - 2025.06.29,5965.0,31.0,4.79,192.42,17.86,1.02,0.0,1.02,10.88,66.96
2025.06.30 - 2025.07.06,11738.0,61.0,4.78,192.42,19.44,7.51,0.0,7.51,10.69,59.72
2025.07.07 - 2025.07.13,12893.0,67.0,4.93,192.42,18.59,4.05,0.0,4.05,11.23,70.14
2025.07.14 - 2025.07.20,15202.0,79.0,4.77,192.42,21.65,0.8,0.0,0.8,10.35,72.17
2025.07.21 - 2025.07.27,13664.0,71.0,4.85,192.42,21.76,2.18,0.0,2.18,9.93,68.25
2025.07.28 - 2025.08.03,15202.0,79.0,4.91,192.42,22.82,0.0,0.0,0.0,9.72,60.91
2025.08.04 - 2025.08.10,15203.0,79.0,4.87,192.42,22.34,9.69,0.0,9.69,9.35,77.53
2025.08.11 - 2025.08.17,15587.0,81.0,4.69,192.42,22.29,0.95,0.0,0.95,10.34,72.14
2025.08.18 - 2025.08.24,16932.0,88.0,4.54,192.42,20.14,0.04,0.0,0.04,9.84,69.27
2025.08.25 - 2025.08.31,21168.0,110.0,4.78,192.42,19.88,2.12,0.0,2.12,11.04,74.25
2025.09.01 - 2025.09.07,18857.0,98.0,4.83,192.42,19.49,0.0,0.0,0.0,10.91,67.82
2025.09.08 - 2025.09.14,10583.0,55.0,4.69,192.42,18.68,12.9,0.0,12.9,10.94,77.16
2025.09.15 - 2025.09.21,7120.0,37.0,4.67,192.42,17.05,2.23,0.0,2.23,11.56,76.48
2025.09.22 - 2025.09.28,6928.0,36.0,4.84,192.42,14.75,26.81,0.0,26.81,14.72,72.89
2025.09.29 - 2025.10.05,6158.0,32.0,4.91,192.42,13.81,21.85,0.0,21.85,9.91,75.64
2025.10.06 - 2025.10.12,5195.0,27.0,4.97,192.42,13.89,14.98,0.0,14.98,11.07,76.68
2025.10.13 - 2025.10.19,4812.0,25.0,4.93,192.42,11.48,47.38,0.0,47.38,14.8,79.77
2025.10.20 - 2025.10.26,3656.0,19.0,4.96,192.42,10.86,21.67,0.0,21.67,9.89,84.65
2025.10.27 - 2025.11.02,3462.0,18.0,4.9,192.42,12.39,13.02,0.0,13.02,10.82,79.04
2025.11.03 - 2025.11.09,5388.0,28.0,4.85,192.42,10.41,25.27,0.0,25.27,10.77,72.64
2025.11.10 - 2025.11.16,6543.0,34.0,4.87,192.42,11.85,0.81,0.0,0.81,7.89,79.78
2025.11.17 - 2025.11.23,7505.0,39.0,4.88,192.42,8.27,18.48,0.0,18.48,10.57,80.77
2025.11.24 - 2025.11.30,5581.0,29.0,4.58,192.42,12.14,8.11,0.0,8.11,11.84,60.64
2025.12.01 - 2025.12.07,3655.0,19.0,4.67,192.42,8.89,9.49,0.0,9.49,10.15,78.27
2025.12.08 - 2025.12.14,1732.0,9.0,4.58,192.42,7.45,9.82,0.0,9.82,9.54,76.02
2025.12.15 - 2025.12.21,2116.0,11.0,4.83,192.42,5.4,43.77,0.0,43.77,12.34,88.83
2025.12.22 - 2025.12.28,1154.0,6.0,5.0,192.42,3.7,12.62,0.0,12.62,10.41,78.19
2025.12.29 - 2026.01.04,961.0,5.0,3.88,192.42,2.21,71.01,59.23,11.78,13.59,87.27
2026.01.05 - 2026.01.11,192.0,1.0,5.0,192.42,-0.19,23.32,23.32,0.0,15.68,76.64
