tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2024.09.23 - 2024.09.29,5415.0,5.0,4.2,1083.33,13.24,32.65,0.0,32.65,11.09,78.85
2024.09.30 - 2024.10.06,5416.0,5.0,5.0,1083.33,14.18,8.54,0.0,8.54,9.95,64.81
2024.10.07 - 2024.10.13,9751.0,9.0,4.4,1083.33,12.91,16.81,0.0,16.81,10.3,64.88
2024.10.14 - 2024.10.20,3250.0,3.0,3.0,1083.33,14.02,9.23,0.0,9.23,9.66,68.63
2024.10.21 - 2024.10.27,8667.0,8.0,4.89,1083.33,6.26,41.03,0.0,41.03,17.6,77.57
2024.10.28 - 2024.11.03,1083.0,1.0,5.0,1083.33,4.75,18.61,0.0,18.61,9.81,79.28
2024.11.04 - 2024.11.10,4333.0,4.0,4.83,1083.33,5.09,5.47,0.0,5.47,9.34,72.33
2024.11.11 - 2024.11.17,1083.0,1.0,5.0,1083.33,2.49,9.84,9.61,0.23,9.56,69.76
2024.11.18 - 2024.11.24,9751.0,9.0,4.7,1083.33,4.43,16.02,0.0,16.02,9.17,78.74
2024.11.25 - 2024.12.01,7583.0,7.0,3.9,1083.33,4.57,56.02,49.36,6.66,19.07,78.47
2024.12.02 - 2024.12.08,6500.0,6.0,5.0,1083.33,-3.77,8.19,8.19,0.0,9.55,80.33
2024.12.09 - 2024.12.15,1083.0,1.0,5.0,1083.33,0.23,2.47,1.64,0.83,11.58,78.47
2024.12.16 - 2024.12.22,1083.0,1.0,5.0,1083.33,-0.71,11.99,11.99,0.0,14.53,74.42
2024.12.23 - 2024.12.29,3250.0,3.0,4.0,1083.33,0.67,4.75,0.23,4.52,11.33,77.52
2024.12.30 - 2025.01.05,1083.0,1.0,4.0,1083.33,2.87,18.56,15.45,3.11,14.61,76.36
2025.01.06 - 2025.01.12,2344.0,2.0,4.5,1159.23,-0.22,18.36,18.29,0.07,11.08,77.07
2025.01.13 - 2025.01.19,0.0,0.0,,1171.88,1.24,2.23,0.0,2.23,10.8,71.34
2025.01.20 - 2025.01.26,0.0,0.0,,1171.88,0.24,22.77,22.77,0.0,12.64,84.16
2025.01.27 - 2025.02.02,3516.0,3.0,5.0,1171.88,0.15,5.09,5.09,0.0,9.81,76.92
2025.02.03 - 2025.02.09,0.0,0.0,,1171.88,0.54,0.0,0.0,0.0,8.87,63.43
2025.02.10 - 2025.02.16,3516.0,3.0,3.67,1171.88,-3.53,35.34,35.34,0.0,14.02,83.73
2025.02.17 - 2025.02.23,2344.0,2.0,5.0,1171.88,-1.37,13.29,13.29,0.0,12.54,77.17
2025.02.24 - 2025.03.02,3516.0,3.0,5.0,1171.88,-7.46,37.81,37.81,0.0,17.35,78.25
2025.03.03 - 2025.03.09,0.0,0.0,,1171.88,-3.2,9.51,9.51,0.0,10.74,75.13
2025.03.10 - 2025.03.16,0.0,0.0,,1171.88,1.91,0.0,0.0,0.0,8.25,66.27
2025.03.17 - 2025.03.23,0.0,0.0,,1171.88,10.84,0.0,0.0,0.0,13.95,50.67
2025.03.24 - 2025.03.30,0.0,0.0,,1171.88,0.06,5.56,4.02,1.54,18.26,74.23
2025.03.31 - 2025.04.06,2344.0,2.0,4.5,1171.88,9.81,14.48,0.0,14.48,13.01,64.48
2025.04.07 - 2025.04.13,4688.0,4.0,5.0,1171.88,6.84,33.17,0.0,33.17,13.39,76.51
2025.04.14 - 2025.04.20,1172.0,1.0,5.0,1171.88,-0.2,55.88,52.33,3.55,14.43,78.54
2025.04.21 - 2025.04.27,1172.0,1.0,4.0,1171.88,5.69,12.73,5.86,6.87,11.13,78.41
2025.04.28 - 2025.05.04,2344.0,2.0,5.0,1171.88,7.6,29.13,0.0,29.13,10.8,78.04
2025.05.05 - 2025.05.11,2344.0,2.0,5.0,1171.88,6.72,27.06,0.0,27.06,10.86,78.51
2025.05.12 - 2025.05.18,3516.0,3.0,4.67,1171.88,11.43,30.49,0.0,30.49,11.68,75.05
2025.05.19 - 2025.05.25,1172.0,1.0,5.0,1171.88,10.19,23.73,0.0,23.73,13.23,68.52
2025.05.26 - 2025.06.01,5860.0,5.0,4.83,1171.88,13.96,0.06,0.0,0.06,9.24,59.33
2025.06.02 - 2025.06.08,0.0,0.0,,1171.88,12.16,25.31,0.0,25.31,12.26,74.24
2025.06.09 - 2025.06.15,4688.0,4.0,5.0,1171.88,14.03,14.79,0.0,14.79,9.97,66.84
2025.06.16 - 2025.06.22,8204.0,7.0,4.93,1171.88,15.22,2.7,0.0,2.7,11.64,67.36
