tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2025.08.11 - 2025.08.17,23510.0,144.0,0.03,163.27,23.03,0.52,0.0,0.52,13.71,71.26
2025.08.18 - 2025.08.24,23510.0,144.0,0.1,163.27,21.49,0.29,0.0,0.29,12.64,64.95
2025.08.25 - 2025.08.31,18938.0,116.0,0.03,163.27,20.29,5.86,0.0,5.86,15.36,76.42
2025.09.01 - 2025.09.07,23836.0,146.0,0.02,163.27,20.24,0.05,0.0,0.05,11.46,74.26
2025.09.08 - 2025.09.14,15347.0,94.0,0.11,163.27,20.14,17.42,0.0,17.42,13.01,76.76
2025.09.15 - 2025.09.21,8491.0,52.0,0.04,163.27,17.9,19.65,0.0,19.65,13.4,76.75
2025.09.22 - 2025.09.28,5878.0,36.0,0.0,163.27,16.31,28.81,0.0,28.81,20.03,74.49
2025.09.29 - 2025.10.05,4573.0,28.0,0.17,163.27,14.51,22.61,0.0,22.61,13.02,77.3
2025.10.06 - 2025.10.12,4574.0,28.0,0.17,163.27,14.82,12.97,0.0,12.97,13.45,80.71
2025.10.13 - 2025.10.19,4247.0,26.0,0.28,163.27,13.08,47.11,0.0,47.11,17.42,82.92
2025.10.20 - 2025.10.26,2941.0,18.0,0.0,163.27,12.31,30.94,0.0,30.94,13.56,83.8
2025.10.27 - 2025.11.02,653.0,4.0,0.5,163.27,13.82,16.74,0.0,16.74,11.87,79.58
2025.11.03 - 2025.11.09,4573.0,28.0,0.22,163.27,12.07,30.63,0.0,30.63,15.46,78.5
2025.11.10 - 2025.11.16,2614.0,16.0,0.0,163.27,12.84,0.24,0.0,0.24,12.58,88.08
2025.11.17 - 2025.11.23,2287.0,14.0,0.0,163.27,10.1,18.58,0.0,18.58,12.83,81.38
2025.11.24 - 2025.11.30,2940.0,18.0,0.0,163.27,13.84,1.9,0.0,1.9,11.95,62.17
2025.12.01 - 2025.12.07,980.0,6.0,0.75,163.27,11.01,13.48,0.0,13.48,11.98,76.41
2025.12.08 - 2025.12.14,327.0,2.0,0.0,163.27,10.29,2.41,0.0,2.41,14.66,76.98
2025.12.15 - 2025.12.21,327.0,2.0,0.0,163.27,7.01,65.4,0.0,65.4,16.08,87.33
2025.12.22 - 2025.12.28,653.0,4.0,0.5,163.27,5.89,23.0,0.0,23.0,12.52,81.14
2025.12.29 - 2026.01.04,981.0,6.0,0.0,163.27,3.57,80.34,62.73,17.61,20.96,85.53
2026.01.05 - 2026.01.11,0.0,0.0,,163.27,2.02,22.96,20.46,2.5,20.51,77.0
