tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2025.05.19 - 2025.05.25,14595.0,8.0,4.88,1824.4,7.25,10.24,0.0,10.24,5.96,67.53
2025.05.26 - 2025.06.01,16418.0,9.0,4.94,1824.4,12.97,12.27,0.0,12.27,5.69,65.33
2025.06.02 - 2025.06.08,18243.0,10.0,4.83,1824.4,10.45,25.38,0.0,25.38,5.57,74.33
2025.06.09 - 2025.06.15,49259.0,27.0,4.89,1824.4,14.6,0.0,0.0,0.0,5.43,67.05
2025.06.16 - 2025.06.22,34664.0,19.0,4.78,1824.4,14.11,0.74,0.0,0.74,6.5,68.48
2025.06.23 - 2025.06.29,43784.0,24.0,4.35,1824.4,14.02,0.91,0.0,0.91,6.27,58.94
2025.06.30 - 2025.07.06,36487.0,20.0,4.74,1824.4,15.69,5.28,0.0,5.28,5.79,53.14
2025.07.07 - 2025.07.13,36487.0,20.0,5.0,1824.4,15.43,6.25,0.0,6.25,6.07,60.88
2025.07.14 - 2025.07.20,38313.0,21.0,4.87,1824.4,17.91,0.42,0.0,0.42,7.05,62.93
2025.07.21 - 2025.07.27,49258.0,27.0,4.75,1824.4,18.19,3.91,0.0,3.91,6.89,61.77
2025.07.28 - 2025.08.03,54732.0,30.0,4.73,1824.4,20.65,0.0,0.0,0.0,5.96,49.93
2025.08.04 - 2025.08.10,49259.0,27.0,4.82,1824.4,19.13,16.11,0.0,16.11,7.99,68.58
2025.08.11 - 2025.08.17,43784.0,24.0,4.84,1824.4,19.14,2.75,0.0,2.75,7.81,64.69
2025.08.18 - 2025.08.24,51084.0,28.0,4.73,1824.4,17.41,0.34,0.0,0.34,8.16,61.99
2025.08.25 - 2025.08.31,52907.0,29.0,4.86,1824.4,16.36,2.95,0.0,2.95,6.46,63.63
2025.09.01 - 2025.09.07,58380.0,32.0,4.47,1824.4,16.57,0.0,0.0,0.0,6.55,62.65
2025.09.08 - 2025.09.14,36488.0,20.0,4.81,1824.4,15.33,28.43,0.0,28.43,6.21,71.32
2025.09.15 - 2025.09.21,41961.0,23.0,4.88,1824.4,14.23,1.41,0.0,1.41,5.58,70.78
2025.09.22 - 2025.09.28,25542.0,14.0,4.75,1824.4,11.0,18.75,0.0,18.75,5.54,71.42
2025.09.29 - 2025.10.05,31014.0,17.0,4.95,1824.4,11.21,12.53,0.0,12.53,5.85,73.82
2025.10.06 - 2025.10.12,14595.0,8.0,5.0,1824.4,9.61,8.7,0.0,8.7,5.05,72.87
2025.10.13 - 2025.10.19,21892.0,12.0,4.93,1824.4,6.58,34.98,0.0,34.98,5.05,82.77
2025.10.20 - 2025.10.26,32839.0,18.0,4.92,1824.4,7.27,17.99,0.0,17.99,4.31,80.32
2025.10.27 - 2025.11.02,29191.0,16.0,4.86,1824.4,8.49,24.82,0.0,24.82,4.29,80.8
2025.11.03 - 2025.11.09,56556.0,31.0,4.8,1824.4,5.38,25.27,0.0,25.27,3.23,74.16
2025.11.10 - 2025.11.16,36488.0,20.0,5.0,1824.4,7.83,0.67,0.0,0.67,3.13,77.44
2025.11.17 - 2025.11.23,62030.0,34.0,4.34,1824.4,3.8,16.02,0.84,15.18,4.03,80.04
2025.11.24 - 2025.11.30,69328.0,38.0,4.69,1824.4,7.11,12.29,0.0,12.29,4.11,68.12
2025.12.01 - 2025.12.07,31015.0,17.0,4.8,1824.4,4.28,8.84,0.0,8.84,3.83,78.1
2025.12.08 - 2025.12.14,32839.0,18.0,4.76,1824.4,3.02,20.86,0.0,20.86,4.39,78.25
2025.12.15 - 2025.12.21,21892.0,12.0,4.6,1824.4,1.12,7.58,4.97,2.61,3.93,84.83
2025.12.22 - 2025.12.28,21891.0,12.0,4.81,1824.4,-1.49,6.64,6.64,0.0,2.49,80.99
2025.12.29 - 2026.01.04,27366.0,15.0,4.58,1824.4,-1.68,43.79,43.79,0.0,6.18,86.8
2026.01.05 - 2026.01.11,10947.0,6.0,5.0,1824.4,-6.18,10.13,10.13,0.0,5.8,81.84
