time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024-06-28,19.65,0.0,0.0,0.0,9.59,26.33,7.01,65.06
2024-06-29,18.43,0.12,0.0,0.12,10.42,22.51,9.87,62.06
2024-06-30,18.88,0.0,0.0,0.0,9.08,24.05,7.6,59.07
2024-07-01,19.0,0.0,0.0,0.0,7.36,25.17,6.35,63.12
2024-07-02,21.05,0.0,0.0,0.0,9.53,27.0,5.51,59.3
2024-07-03,21.43,0.14,0.0,0.14,9.73,28.89,5.03,56.64
2024-07-04,18.05,3.48,0.0,3.48,12.12,24.53,6.0,72.59
2024-07-05,16.38,8.01,0.0,8.01,10.71,20.56,5.09,76.7
2024-07-06,17.18,1.81,0.0,1.81,9.54,20.89,4.97,72.94
2024-07-07,20.41,0.04,0.0,0.04,12.39,25.52,6.94,68.01
2024-07-08,21.18,0.0,0.0,0.0,10.6,26.72,5.8,65.66
2024-07-09,21.83,0.0,0.0,0.0,12.47,26.98,5.0,67.42
2024-07-10,20.41,3.86,0.0,3.86,13.21,26.91,4.44,73.06
2024-07-11,19.31,5.51,0.0,5.51,13.59,25.65,5.77,76.64
2024-07-12,19.84,0.33,0.0,0.33,13.48,25.62,5.29,76.06
2024-07-13,20.02,2.27,0.0,2.27,13.66,25.57,5.55,75.3
2024-07-14,20.14,0.0,0.0,0.0,12.96,25.51,6.66,68.24
2024-07-15,19.55,0.0,0.0,0.0,10.68,25.65,5.64,61.06
2024-07-16,20.61,0.53,0.0,0.53,11.04,27.09,5.66,64.06
2024-07-17,21.07,0.75,0.0,0.75,12.26,27.24,5.64,67.65
2024-07-18,22.55,0.0,0.0,0.0,11.98,28.87,5.69,62.96
2024-07-19,22.15,0.3,0.0,0.3,12.36,28.16,6.1,64.01
2024-07-20,19.83,1.33,0.0,1.33,14.52,26.61,5.91,70.95
2024-07-21,22.33,0.0,0.0,0.0,13.23,28.07,6.56,67.77
2024-07-22,23.08,0.0,0.0,0.0,12.01,28.87,5.85,60.3
2024-07-23,21.86,0.47,0.0,0.47,12.06,27.22,6.78,64.06
2024-07-24,20.82,0.19,0.0,0.19,13.46,25.35,7.3,66.29
